"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"1500000US060371113042","Block Group 2; Census Tract 1113.04; Los Angeles County; California","1493","162",
"1500000US060371114011","Block Group 1; Census Tract 1114.01; Los Angeles County; California","2389","195",
"1500000US060371114021","Block Group 1; Census Tract 1114.02; Los Angeles County; California","1318","599",
"1500000US060371114022","Block Group 2; Census Tract 1114.02; Los Angeles County; California","1600","309",
"1500000US060371114023","Block Group 3; Census Tract 1114.02; Los Angeles County; California","1718","117",
"1500000US060371131011","Block Group 1; Census Tract 1131.01; Los Angeles County; California","-","**",
"1500000US060371131012","Block Group 2; Census Tract 1131.01; Los Angeles County; California","3,500+","***",
"1500000US060371131021","Block Group 1; Census Tract 1131.02; Los Angeles County; California","-","**",
"1500000US060371131022","Block Group 2; Census Tract 1131.02; Los Angeles County; California","3,500+","***",
"1500000US060371132111","Block Group 1; Census Tract 1132.11; Los Angeles County; California","2929","1809",
"1500000US060371132112","Block Group 2; Census Tract 1132.11; Los Angeles County; California","2795","554",
"1500000US060371132121","Block Group 1; Census Tract 1132.12; Los Angeles County; California","2563","318",
"1500000US060371132122","Block Group 2; Census Tract 1132.12; Los Angeles County; California","2243","152",
"1500000US060371132131","Block Group 1; Census Tract 1132.13; Los Angeles County; California","2619","340",
"1500000US060371132132","Block Group 2; Census Tract 1132.13; Los Angeles County; California","1966","297",
"1500000US060371132311","Block Group 1; Census Tract 1132.31; Los Angeles County; California","1886","823",
"1500000US060371132312","Block Group 2; Census Tract 1132.31; Los Angeles County; California","2875","842",
"1500000US060371132321","Block Group 1; Census Tract 1132.32; Los Angeles County; California","3304","2546",
"1500000US060371132322","Block Group 2; Census Tract 1132.32; Los Angeles County; California","2023","380",
"1500000US060371132341","Block Group 1; Census Tract 1132.34; Los Angeles County; California","1888","549",
"1500000US060371132342","Block Group 2; Census Tract 1132.34; Los Angeles County; California","2143","1194",
"1500000US060371132343","Block Group 3; Census Tract 1132.34; Los Angeles County; California","2048","231",
"1500000US060371132344","Block Group 4; Census Tract 1132.34; Los Angeles County; California","1161","800",
"1500000US060371132351","Block Group 1; Census Tract 1132.35; Los Angeles County; California","2673","126",
"1500000US060371132371","Block Group 1; Census Tract 1132.37; Los Angeles County; California","2516","746",
"1500000US060371132372","Block Group 2; Census Tract 1132.37; Los Angeles County; California","1918","181",
